# Rime user dictionary
#@/db_name	withdewhua.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	31290
#@/user_id	withdewhua-win
a 	啊	c=189 d=8.54227 t=31290
dan wei ju zhen 	單位矩陣	c=1 d=0.0146253 t=31290
dan wei xuan zhong 	但未選中	c=1 d=0.147342 t=31290
dan wei zhen 	單位陣	c=1 d=0.0213864 t=31290
dan xin 	擔心	c=1 d=1.03077 t=31290
dan xin ni 	擔心你	c=1 d=0.941765 t=31290
dan ye 	但也	c=0 d=0.0118245 t=31290
dan ye 	單頁	c=0 d=0.000166156 t=31290
dan ye bu hui xiang 	但也不會像	c=1 d=0.118837 t=31290
dan ye mian 	單頁麪	c=1 d=0.00166989 t=31290
dan yi 	單一	c=1 d=0.0170774 t=31290
dan yong hu 	單用戶	c=17 d=0.0320558 t=31290
dan yong hu duo ru duo chu 	單用戶多入多出	c=1 d=0.225373 t=31290
dan yuan 	單元	c=0 d=0.0242926 t=31290
dan zai 	但在	c=1 d=0.00831246 t=31290
dan zhuang 	單樁	c=6 d=0.490678 t=31290
dang 	檔	c=0 d=8.39743e-06 t=31290
dang 	當	c=10 d=0.719125 t=31290
dang an shi 	檔案室	c=1 d=0.980199 t=31290
dang bei 	當貝	c=1 d=0.0769192 t=31290
dang bei jing yin 	當背景音	c=1 d=0.618783 t=31290
dang bi jiao 	當比較	c=1 d=0.127454 t=31290
dang cheng 	當成	c=0 d=6.39387e-05 t=31290
dang cheng le 	當成了	c=1 d=0.000642592 t=31290
dang chu 	當初	c=1 d=0.0437179 t=31290
dang dian ji 	當點擊	c=1 d=0.67032 t=31290
dang ji suan 	當計算	c=1 d=0.090718 t=31290
dang mian 	當面	c=0 d=0.0163654 t=31290
dang mian jiang 	當面講	c=1 d=0.164474 t=31290
dang qian 	當前	c=3 d=0.755784 t=31290
dang ran 	當然	c=5 d=0.509335 t=31290
dang ran le 	當然了	c=2 d=0.0507928 t=31290
dang ran mei shen me yong le 	當然沒什麼用了	c=1 d=0.0837432 t=31290
dang ran neng bu neng xing 	當然能不能行	c=1 d=3.96666e-05 t=31290
dang ran xuan 	當然選	c=1 d=0.000397625 t=31290
dang ran you 	當然有	c=1 d=0.289384 t=31290
dang shi 	當時	c=6 d=0.572442 t=31290
dang ta 	當他	c=1 d=0.0718924 t=31290
dang wan fan 	當晚飯	c=1 d=0.0273237 t=31290
dang wo 	當我	c=0 d=0.000308872 t=31290
dang wo mei shuo 	當我沒說	c=2 d=0.0031042 t=31290
dang yi ge 	當一個	c=2 d=0.387546 t=31290
dang zuo 	當作	c=1 d=0.752014 t=31290
dao 	倒	c=2 d=0.198382 t=31290
dao 	到	c=45 d=1.66756 t=31290
dao 	導	c=2 d=0.0444858 t=31290
dao 	道	c=1 d=0.0367879 t=31290
dao ban 	盜版	c=1 d=0.860708 t=31290
dao bu 	倒不	c=1 d=0.524663 t=31290
dao bu shi 	倒不是	c=1 d=0.666977 t=31290
dao bu yong duo 	倒不用多	c=1 d=0.50409 t=31290
dao chu 	導出	c=2 d=0.00259284 t=31290
dao dao 	道道	c=0 d=0.083527 t=31290
dao de 	到的	c=5 d=0.493609 t=31290
dao di 	到底	c=2 d=0.153355 t=31290
dao di you shen me yao qiu 	到底有什麼要求	c=1 d=0.0343896 t=31290
dao dou mei wen ti 	倒都沒問題	c=1 d=0.0858632 t=31290
dao feng 	刀鋒	c=3 d=0.802519 t=31290
dao fu 	到付	c=2 d=0.579122 t=31290
dao hai 	倒還	c=1 d=0.0110536 t=31290
dao jin qu 	導進去	c=2 d=0.907794 t=31290
dao lai 	到來	c=1 d=1.84645e-09 t=31290
dao le 	到了	c=9 d=1.03342 t=31290
dao le mei 	到了沒	c=1 d=0.0902655 t=31290
dao le na tian 	到了那天	c=1 d=0.579842 t=31290
dao le zai shuo 	到了再說	c=1 d=0.0017555 t=31290
dao na 	到哪	c=0 d=0.0831104 t=31290
dao na le 	到哪了	c=1 d=0.360595 t=31290
dao na le dou 	到哪了都	c=1 d=0.00683978 t=31290
dao ni 	到你	c=0 d=0.0373439 t=31290
dao nin 	到您	c=0 d=0.0267136 t=31290
dao pin 	導頻	c=2 d=0.000224371 t=31290
dao qi 	到期	c=4 d=0.786675 t=31290
dao qi le 	到期了	c=1 d=3.08924e-05 t=31290
dao qi ne 	到期呢	c=1 d=1.27976e-49 t=31290
dao ru 	導入	c=8 d=0.582313 t=31290
dao ru hao de 	導入好的	c=1 d=6.31499e-05 t=31290
dao ru jie dian 	導入節點	c=1 d=6.64215e-11 t=31290
dao ru le 	導入了	c=2 d=0.0009734 t=31290
dao sha 	到啥	c=1 d=1 t=30753
dao shi 	倒是	c=6 d=0.701685 t=31290
dao shi 	導師	c=5 d=0.950662 t=31290
dao shi hen zhou dao 	倒是很周到	c=1 d=0.97531 t=31290
dao shi hou 	到時候	c=3 d=0.402589 t=31290
dao shi hou zi ji qu sou 	到時候自己去搜	c=1 d=0.0695994 t=31290
dao shi ke yi 	倒是可以	c=1 d=0.687289 t=31290
dao shou 	到手	c=1 d=0.0197632 t=31290
dao shou le 	到手了	c=1 d=0.0916297 t=31290
dao shu 	倒數	c=1 d=0.0162445 t=31290
dao ti 	道題	c=1 d=1 t=28223
dao wei 	到位	c=1 d=0.000636198 t=31290
dao wo 	到我	c=1 d=0.0156858 t=31290
dao xian 	導線	c=1 d=0.105002 t=31290
dao ye 	倒也	c=2 d=0.0268154 t=31290
dao ye bu shi 	倒也不是	c=0 d=0.00218185 t=31290
dao ye bu shi bu neng yong 	倒也不是不能用	c=1 d=0.0219278 t=31290
dao ye dou cha bu duo 	倒也都差不多	c=1 d=5.53554e-14 t=31290
dao ye ying xiang bu da 	倒也影響不大	c=1 d=0.0247235 t=31290
dao yong 	盜用	c=1 d=2.70096e-13 t=31290
dao yuan 	導員	c=1 d=0.202909 t=31290
dao yuan na 	導員那	c=1 d=0.010358 t=31290
dao zhang 	到帳	c=0 d=0.000918669 t=31290
dao zhang 	到賬	c=1 d=0.0347685 t=31290
dao zhang mei 	到賬沒	c=1 d=2.65893e-05 t=31290
dao zhe 	到這	c=1 d=0.761838 t=31290
dao zhe li 	到這裏	c=1 d=0.0948935 t=31290
dao zhi 	導致	c=7 d=0.0299962 t=31290
dao zhi de 	導致的	c=1 d=0.000270565 t=31290
dao zhi le 	導致了	c=2 d=0.00280879 t=31290
de 	地	c=17 d=0.847894 t=31290
de 	得	c=10 d=0.667293 t=31290
de 	的	c=1518 d=17.6212 t=31290
de a 	的啊	c=7 d=0.616812 t=31290
de ba 	的吧	c=5 d=0.585792 t=31290
de ban ben 	的版本	c=1 d=0.00201931 t=31290
de bao wen 	的報文	c=1 d=0.0426384 t=31290
de bian hua 	的變化	c=1 d=0.000773179 t=31290
de bu chang shi 	得不償失	c=1 d=0.245367 t=31290
de bu tong 	的不同	c=1 d=2.96963e-11 t=31290
de cha kan 	的查看	c=2 d=0.369044 t=31290
de cha yi xing 	的差異性	c=1 d=0.900325 t=31290
de chang du 	的長度	c=1 d=1 t=30282
de che 	的車	c=3 d=1.33939 t=31290
de cheng gong 	的成功	c=0 d=6.67658e-14 t=31290
de chu 	得出	c=10 d=0.914388 t=31290
de chu le 	得出了	c=1 d=0.000270565 t=31290
de cun zai 	的存在	c=1 d=0.000422213 t=31290
de da xiao 	的大小	c=0 d=0.0759572 t=31290
de da xiao guan xi 	的大小關係	c=1 d=0.763379 t=31290
de dang 	得當	c=1 d=5.11883e-05 t=31290
de dao 	得到	c=32 d=2.59975 t=31290
de dao de 	得到的	c=2 d=0.000403647 t=31290
de dao le 	得到了	c=5 d=0.725543 t=31290
de dao le 	的到了	c=1 d=0.463013 t=31290
de dao ti gao 	得到提高	c=1 d=0.0387742 t=31290
de di fang 	的地方	c=1 d=0.810584 t=31290
de di qu 	的地區	c=1 d=0.00273944 t=31290
de dian chi 	的電池	c=1 d=0.142987 t=31290
de dian shi 	的電視	c=1 d=1 t=28340
de dong hua 	的動畫	c=1 d=0.57695 t=31290
de dong xi 	的東西	c=1 d=1 t=30856
de fa zhan 	的發展	c=3 d=0.467666 t=31290
de fan yi 	的翻譯	c=1 d=0.202908 t=31290
de fang an 	的方案	c=1 d=0.00843808 t=31290
de fang shi 	的方式	c=3 d=0.00965244 t=31290
de fang wen 	的訪問	c=0 d=0.0100259 t=31290
de fang wen jie guo 	的訪問結果	c=1 d=0.100761 t=31290
de fang zhen fen xi 	的仿真分析	c=1 d=0.00101284 t=31290
de fen 	得分	c=1 d=0.737123 t=31290
de fen si ne 	的粉絲呢	c=1 d=0.0146986 t=31290
de fu wu 	的服務	c=1 d=0.451581 t=31290
de fu wu de 	的服務的	c=1 d=0.606531 t=31290
de fu wu qi 	的服務器	c=1 d=0.00673795 t=31290
de fu za du 	的複雜度	c=1 d=4.97008e-11 t=31290
de gai nian 	的概念	c=1 d=0.00235786 t=31290
de gan rao 	的干擾	c=1 d=0.0471227 t=31290
de gao 	的高	c=1 d=0.394554 t=31290
de gong dao gan rao 	的共道干擾	c=1 d=0.279431 t=31290
de gong ju 	的工具	c=1 d=0.14808 t=31290
de gong zuo 	的工作	c=0 d=0.0470011 t=31290
de gong zuo cheng guo 	的工作成果	c=1 d=0.472367 t=31290
de gou cheng 	的構成	c=1 d=0.496585 t=31290
de gu shi 	的故事	c=1 d=0.737123 t=31290
de gui ze 	的規則	c=1 d=3.64343e-05 t=31290
de hua 	的話	c=16 d=1.00976 t=31290
de huan jing 	的環境	c=1 d=0.00594622 t=31290
de ji ben gai nian 	的基本概念	c=2 d=0.028297 t=31290
de ji chang 	的機場	c=1 d=0.008396 t=31290
de ji hui 	的機會	c=1 d=0.00285124 t=31290
de ji ke 	的即可	c=1 d=0.511709 t=31290
de ji shu 	的技術	c=1 d=8.65464e-07 t=31290
de ji suan 	的計算	c=1 d=1.49309e-10 t=31290
de ji suan fu za du 	的計算複雜度	c=2 d=0.00216573 t=31290
de ji zhong 	的幾種	c=1 d=1 t=28892
de jia le 	的加了	c=1 d=0.0113334 t=31290
de jiao cheng 	的教程	c=1 d=0.32628 t=31290
de jie dian 	的節點	c=3 d=0.000801424 t=31290
de jie kou 	的接口	c=1 d=1 t=29114
de jie shou xiang liang 	的接收向量	c=1 d=0.316637 t=31290
de jing dian 	的景點	c=1 d=0.440432 t=31290
de jiu ke yi 	的就可以	c=1 d=0.000443861 t=31290
de ke cheng 	的課程	c=1 d=0.000788798 t=31290
de le 	得了	c=1 d=0.744368 t=31290
de le 	的了	c=1 d=0.00136112 t=31290
de ma 	的嗎	c=1 d=0.744532 t=31290
de ma ben 	的碼本	c=1 d=5.38311e-09 t=31290
de me 	的麼	c=5 d=0.687289 t=31290
de mi ma ku 	的密碼庫	c=1 d=1.50109e-14 t=31290
de ming ming 	的命名	c=1 d=0.0867261 t=31290
de na ge 	的那個	c=1 d=0.487798 t=31290
de nei rong 	的內容	c=1 d=0.0190631 t=31290
de pian tou pian wei 	的片頭片尾	c=1 d=0.315058 t=31290
de ping mu 	的屏幕	c=1 d=0.000668817 t=31290
de qian 	的錢	c=1 d=0.408608 t=31290
de qian le 	的錢了	c=1 d=0.0122161 t=31290
de qing kuang 	的情況	c=4 d=0.163163 t=31290
de qu bie 	的區別	c=2 d=0.427415 t=31290
de qun 	的羣	c=1 d=0.794534 t=31290
de re qing 	的熱情	c=1 d=0.477114 t=31290
de ren 	的人	c=2 d=0.895879 t=31290
de ren ke 	的認可	c=1 d=0.470011 t=31290
de ruan jian 	的軟件	c=3 d=0.769116 t=31290
de shi 	的事	c=0 d=0.000267181 t=31290
de shi hou 	的時候	c=7 d=0.566877 t=31290
de shi jian 	的時間	c=1 d=0.0860708 t=31290
de shi pin 	的視頻	c=1 d=0.146607 t=31290
de shi qing 	的事情	c=0 d=0.00106202 t=31290
de shi shi ba 	的試試吧	c=1 d=0.0015648 t=31290
de shi xian 	的實現	c=2 d=4.51735e-05 t=31290
de shi yong 	的使用	c=1 d=4.70411e-11 t=31290
de shu ju 	的數據	c=1 d=0.209088 t=31290
de shuo 	地說	c=1 d=0.873716 t=31290
de su lv 	的速率	c=1 d=0.0244775 t=31290
de tu pian 	的圖片	c=1 d=0.00951391 t=31290
de wan cheng 	的完成	c=1 d=0.00349997 t=31290
de wen ti 	的問題	c=4 d=0.873716 t=31290
de wo men 	的我們	c=1 d=0.169638 t=31290
de xiao guo 	的效果	c=2 d=2.41796e-05 t=31290
de xing neng 	的性能	c=1 d=0.000825105 t=31290
de xing shi 	的形式	c=2 d=0.744532 t=31290
de xing zhi 	的性質	c=1 d=0.0558548 t=31290
de xu hang 	的續航	c=1 d=0.104874 t=31290
de xu qiu 	的需求	c=0 d=0.0913931 t=31290
de ya 	的呀	c=3 d=0.00233787 t=31290
de yan jiu 	的研究	c=1 d=0.230837 t=31290
de yan suan 	的驗算	c=1 d=0.11624 t=31290
de yao qiu 	的要求	c=2 d=0.254193 t=31290
de yi ban si lu 	的一般思路	c=1 d=1 t=28844
de yi bo 	的一波	c=1 d=0.052602 t=31290
de yi si 	的意思	c=1 d=0.000395642 t=31290
de ying xiang 	的影響	c=0 d=0.0554327 t=31290
de yong hu 	的用戶	c=1 d=0.0858632 t=31290
de you 	的有	c=1 d=0.0432828 t=31290
de you dian 	的優點	c=1 d=0.00683978 t=31290
de you jian 	的郵件	c=1 d=1.2991e-49 t=31290
de yu bian ma 	的預編碼	c=1 d=0.0692522 t=31290
de yu e 	的餘額	c=1 d=0.00152616 t=31290
de zheng 	得證	c=0 d=0.0075774 t=31290
de zheng ming 	的證明	c=1 d=0.0561348 t=31290
de zhi 	得知	c=2 d=0.053397 t=31290
de zhu 	得住	c=1 d=0.162026 t=31290
de zhu ti 	的主題	c=1 d=0.0443785 t=31290
de zhu yao 	的主要	c=1 d=0.0140519 t=31290
de zuo yong 	的作用	c=2 d=0.782705 t=31290
dei 	得	c=9 d=0.775034 t=31290
dei deng 	得等	c=1 d=0.0581343 t=31290
dei xu yao 	得需要	c=1 d=0.336216 t=31290
deng 	等	c=54 d=1.81641 t=31290
deng bi shu lie 	等比數列	c=1 d=0.0450492 t=31290
deng bu shang 	登不上	c=1 d=0.037068 t=31290
deng chu li jiu hao 	等處理就好	c=1 d=0.546074 t=31290
deng dai 	等待	c=1 d=0.794534 t=31290
deng dai chu li ba 	等待處理吧	c=2 d=0.467666 t=31290
deng deng 	等等	c=11 d=1.75935 t=31290
deng deng ba 	等等吧	c=1 d=0.70822 t=31290
deng fang shi 	等方式	c=2 d=0.634448 t=31290
deng ge 	等個	c=2 d=0.925461 t=31290
deng geng xin 	等更新	c=1 d=0.615697 t=31290
deng geng xin ba 	等更新吧	c=1 d=0.00226541 t=31290
deng gong dan hui fu ba 	等工單回覆吧	c=1 d=0.000411789 t=31290
deng gong zuo 	等工作	c=1 d=0.0558548 t=31290
deng ji 	等級	c=14 d=2.00762 t=31290
deng ji yue gao 	等級越高	c=1 d=0.379083 t=31290
deng le 	登了	c=1 d=1 t=29579
deng lu 	登錄	c=17 d=1.06192 t=31290
deng lu 	登陸	c=2 d=0.918512 t=31290
deng lu jin qu 	登錄進去	c=1 d=0.090718 t=31290
deng lu mi ma 	登錄密碼	c=1 d=0.00278085 t=31290
deng lu shang le 	登錄上了	c=1 d=1.10382e-15 t=31290
deng lu wang zhan 	登錄網站	c=1 d=0.11475 t=31290
deng lu xin xi 	登錄信息	c=3 d=1.60962e-13 t=31290
deng ming tian 	等明天	c=3 d=0.847894 t=31290
deng ni 	等你	c=2 d=0.975166 t=31290
deng ni men 	等你們	c=1 d=0.000104638 t=31290
deng ren 	等人	c=1 d=0.00625109 t=31290
deng shang 	等上	c=0 d=0.00475963 t=31290
deng shang huo 	等上貨	c=1 d=0.0478349 t=31290
deng ta 	等他	c=1 d=0.618783 t=31290
deng ta men 	等他們	c=1 d=0.0368832 t=31290
deng tong zhi 	等通知	c=2 d=1.13783 t=31290
deng tong zhi ba 	等通知吧	c=1 d=0.38868 t=31290
deng wang zhan 	等網站	c=1 d=2.3348e-05 t=31290
deng wen ti 	等問題	c=1 d=0.0127147 t=31290
deng wo 	等我	c=2 d=0.463013 t=31290
deng wo qu cha xia 	等我去查下	c=1 d=0.609571 t=31290
deng xia ge ban ben 	等下個版本	c=1 d=0.304221 t=31290
deng xiao 	等效	c=1 d=0.0581343 t=31290
deng xiao zhao 	等校招	c=1 d=0.451581 t=31290
deng yi hui er 	等一會兒	c=1 d=0.229925 t=31290
deng yu 	等於	c=4 d=0.0903459 t=31290
deng yu 	鄧宇	c=4 d=0.73848 t=31290
deng zhe 	等着	c=1 d=0.050409 t=31290
deng zhe ni 	等着你	c=0 d=0.0122456 t=31290
deng zhe zhe ge le 	等着這個了	c=1 d=0.506617 t=31290
deng zi 	凳子	c=0 d=0.00391639 t=31290
di 	低	c=12 d=1.18545 t=31290
di 	地	c=1 d=0.254107 t=31290
di 	底	c=1 d=0.146967 t=31290
di 	第	c=26 d=0.961007 t=31290
di ba ji 	第八季	c=1 d=7.17922e-14 t=31290
di ba jie 	第八屆	c=1 d=0.410656 t=31290
di biao 	地表	c=1 d=0.0285814 t=31290
di ceng 	底層	c=1 d=0.0350844 t=31290
di dang 	抵擋	c=0 d=0.0160414 t=31290
di dao 	低到	c=0 d=0.0831104 t=31290
di di 	滴滴	c=2 d=1.47747 t=31290
di di chu xing 	滴滴出行	c=1 d=0.798516 t=31290
di dian 	地點	c=1 d=0.107744 t=31290
di diao 	低調	c=1 d=0.766063 t=31290
di diao dian 	低調點	c=2 d=1.39198 t=31290
di diao shi yong 	低調使用	c=2 d=0.951229 t=31290
di duan 	低端	c=1 d=0.514274 t=31290
di duan ying shi 	低端影視	c=1 d=1 t=29524
di er 	第二	c=3 d=0.0366992 t=31290
di er bian 	第二遍	c=0 d=0.0137381 t=31290
di er bian le 	第二遍了	c=1 d=0.0020601 t=31290
di er ceng 	第二層	c=2 d=0.000205331 t=31290
di er ceng jiao huan 	第二層交換	c=2 d=0.000184246 t=31290
di er ci 	第二次	c=1 d=0.00451658 t=31290
di er dai 	第二代	c=1 d=7.26891e-13 t=31290
di er ge 	第二個	c=1 d=0.0173355 t=31290
di er ji 	第二季	c=1 d=0.0713613 t=31290
di er ji 	第二集	c=2 d=0.0547488 t=31290
di er tiao 	第二條	c=1 d=0.238115 t=31290
di er zhang 	第二章	c=3 d=0.224249 t=31290
di fang 	地方	c=4 d=1.75554 t=31290
di fang le 	地方了	c=1 d=0.00120052 t=31290
di fu za du 	低複雜度	c=1 d=0.00680566 t=31290
di hao 	帝豪	c=1 d=0.618783 t=31290
di ji 	地基	c=2 d=0.053566 t=31290
di ji 	第幾	c=0 d=1.60054e-05 t=31290
di kang 	抵抗	c=1 d=0.0225956 t=31290
di lan 	底欄	c=1 d=0.00546167 t=31290
di le 	低了	c=0 d=5.64738e-15 t=31290
di liu 	第六	c=0 d=0.0031273 t=31290
di liu ji 	第六集	c=1 d=0.000108909 t=31290
di liu zhou 	第六軸	c=1 d=0.0314298 t=31290
di mian ji 	底面積	c=1 d=0.0776922 t=31290
di ming 	地名	c=1 d=0.937067 t=31290
di ping 	地坪	c=1 d=0.0366992 t=31290
di qi zhang 	第七章	c=1 d=0.14808 t=31290
di qu 	地區	c=1 d=0.316998 t=31290
di qu le 	地區了	c=1 d=0.588605 t=31290
di ren jie 	狄仁傑	c=0 d=0.0985112 t=31290
di san 	第三	c=2 d=0.106934 t=31290
di san bu 	第三步	c=2 d=0.176848 t=31290
di san bu 	第三部	c=1 d=0.995012 t=31290
di san ceng 	第三層	c=5 d=0.000812129 t=31290
di san ceng she bei 	第三層設備	c=1 d=0.000135032 t=31290
di san dai 	第三代	c=2 d=2.1597e-12 t=31290
di san dian 	第三點	c=1 d=3.61898e-14 t=31290
di san fang 	第三方	c=7 d=1.24979 t=31290
di san fang de huai bao le 	第三方的懷抱了	c=1 d=0.000121572 t=31290
di san ge 	第三個	c=2 d=0.354257 t=31290
di san ji 	第三季	c=2 d=0.985112 t=31290
di san ji 	第三集	c=1 d=1.03418e-13 t=31290
di san lan 	第三欄	c=1 d=0.00548905 t=31290
di san ti 	第三題	c=1 d=0.0432828 t=31290
di san tian 	第三天	c=1 d=0.00307331 t=31290
di san tiao 	第三條	c=1 d=1.98614e-14 t=31290
di san xiao jie 	第三小節	c=1 d=3.16852e-09 t=31290
di san zhang 	第三張	c=1 d=0.10383 t=31290
di san zhang 	第三章	c=3 d=1.03151e-06 t=31290
di si 	第四	c=1 d=1 t=28177
di si dai 	第四代	c=4 d=0.0501686 t=31290
di si tian 	第四天	c=1 d=0.0305009 t=31290
di si zhang 	第四章	c=1 d=4.36272e-07 t=31290
di tie 	地鐵	c=1 d=0.00139568 t=31290
di tu 	地圖	c=1 d=0.247833 t=31290
di wu dai 	第五代	c=1 d=1.87015e-12 t=31290
di wu ji 	第五季	c=1 d=1 t=31290
di wu ji 	第五集	c=1 d=2.55642e-13 t=31290
di wu tian 	第五天	c=1 d=0.250324 t=31290
di wu zhang 	第五章	c=1 d=4.74977e-07 t=31290
di xia 	地下	c=2 d=0.0282973 t=31290
di xin 	底薪	c=2 d=1.03978 t=31290
di xin zao bi 	低信噪比	c=6 d=1.42439 t=31290
di yan chi 	低延遲	c=1 d=1.94046e-05 t=31290
di yi 	第一	c=4 d=0.771257 t=31290
di yi bu 	第一部	c=1 d=0.0123389 t=31290
di yi ci 	第一次	c=4 d=0.941765 t=31290
di yi ci tou tiao 	第一次頭條	c=1 d=0.307279 t=31290
di yi dai 	第一代	c=2 d=1.36474e-12 t=31290
di yi ge 	第一個	c=7 d=0.941765 t=31290
di yi ji 	第一季	c=1 d=0.56836 t=31290
di yi ji 	第一集	c=2 d=0.044601 t=31290
di yi le 	第一了	c=1 d=0.970446 t=31290
di yi ming 	第一名	c=1 d=0.0023935 t=31290
di yi pian 	第一片	c=1 d=0.0181334 t=31290
di yi pian 	第一篇	c=0 d=0.00025415 t=31290
di yi shi jian 	第一時間	c=2 d=0.869259 t=31290
di yi ti 	第一題	c=1 d=0.0397558 t=31290
di yi tian 	第一天	c=1 d=0.0346456 t=31290
di yi tiao 	第一條	c=1 d=0.000203468 t=31290
di yi zhang 	第一張	c=1 d=0.0086517 t=31290
di yi zhang 	第一章	c=1 d=3.36388e-07 t=31290
di yi zhong 	第一種	c=1 d=0.0183156 t=31290
di yi zhou 	第一週	c=2 d=0.41443 t=31290
di yi zi jie 	第一字節	c=1 d=0.0148464 t=31290
di yu 	低於	c=5 d=0.0299664 t=31290
di zeng 	遞增	c=1 d=0.0112206 t=31290
di zhi 	地址	c=59 d=7.3872 t=31290
di zhi 	地質	c=1 d=0.0357861 t=31290
di zhi chong tu jian cha 	地址衝突檢查	c=1 d=0.878095 t=31290
di zhi guan li 	地址管理	c=1 d=0.268474 t=31290
di zhi huo xi 	地址獲悉	c=1 d=8.43952e-05 t=31290
di zhi jie xi xie yi 	地址解析協議	c=1 d=0.752014 t=31290
di zhi ping jia 	地質評價	c=1 d=0.0275983 t=31290
di zhi qing kuang 	地質情況	c=1 d=0.0265162 t=31290
di zhi shi 	地址是	c=1 d=0.276651 t=31290
di zhi tiao jian 	地質條件	c=1 d=0.0267827 t=31290
di zi 	弟子	c=0 d=0.00277367 t=31290
dia 	嗲	c=0 d=0.0156453 t=31290
dian 	店	c=3 d=0.454739 t=31290
dian 	電	c=0 d=4.05658e-05 t=31290
dian 	點	c=23 d=1.59453 t=31290
dian ba 	點吧	c=1 d=0.0668703 t=31290
dian ban 	點半	c=3 d=0.897655 t=31290
dian bao 	電報	c=1 d=0.00406639 t=31290
dian bao dai li 	電報代理	c=1 d=8.29947e-14 t=31290
dian che 	電車	c=1 d=0.491644 t=31290
dian chi 	電池	c=8 d=1.50805 t=31290
dian dao 	點到	c=1 d=0.102284 t=31290
dian de 	點的	c=0 d=0.0474734 t=31290
dian dian 	點點	c=0 d=0.000708341 t=31290
dian dong ya shua 	電動牙刷	c=1 d=0.0320647 t=31290
dian dui dian 	點對點	c=1 d=0.0267827 t=31290
dian guo 	點過	c=0 d=0.0398519 t=31290
dian guo le 	點過了	c=1 d=0.400517 t=31290
dian hua 	電話	c=5 d=0.572731 t=31290
dian hua hao ma 	電話號碼	c=3 d=0.625002 t=31290
dian ji 	點擊	c=33 d=1.53551 t=31290
dian ji tong bu 	點擊同步	c=1 d=0.394554 t=31290
dian ji you shang jiao 	點擊右上角	c=1 d=6.22414e-11 t=31290
dian jin qu 	點進去	c=1 d=0.0132655 t=31290
dian kai 	點開	c=3 d=0.618783 t=31290
dian lan 	電纜	c=3 d=0.33935 t=31290
dian le 	墊了	c=0 d=0.0806541 t=31290
dian le 	點了	c=3 d=0.869393 t=31290
dian le di 	墊了底	c=1 d=0.810584 t=31290
dian liang 	電量	c=1 d=0.869358 t=31290
dian liang 	點亮	c=1 d=0.860708 t=31290
dian liu liang 	點流量	c=1 d=0.13068 t=31290
dian ming 	點名	c=0 d=0.00485578 t=31290
dian ming le 	點名了	c=1 d=0.0488012 t=31290
dian nao 	電腦	c=5 d=0.867058 t=31290
dian nao ban 	電腦版	c=1 d=0.191092 t=31290
dian nao duan 	電腦端	c=1 d=0.0134335 t=31290
dian shang mian 	點上面	c=1 d=0.231078 t=31290
dian shi 	電視	c=8 d=0.915267 t=31290
dian shi 	點石	c=1 d=0.0211736 t=31290
dian shi ji 	電視機	c=1 d=1 t=28345
dian shi ju 	電視劇	c=0 d=0.0465334 t=31290
dian shi ju zai shuo 	電視劇再說	c=1 d=0.467666 t=31290
dian shi tu xiang 	電視圖像	c=1 d=1.22878e-12 t=31290
dian ti huan 	點替換	c=1 d=2.27793e-09 t=31290
dian tou 	點頭	c=0 d=0.000128115 t=31290
dian xia 	點下	c=3 d=0.0302961 t=31290
dian xin 	電信	c=0 d=0.0172045 t=31290
dian xing 	典型	c=2 d=0.946485 t=31290
dian xun 	電訊	c=1 d=0.0174224 t=31290
dian yin 	電音	c=0 d=0.000196945 t=31290
dian ying 	電影	c=0 d=0.0202909 t=31290
dian yuan 	店員	c=1 d=0.355226 t=31290
dian zi 	電子	c=1 d=0.304221 t=31290
dian zi chan pin 	電子產品	c=1 d=0.177284 t=31290
dian zi dang 	電子檔	c=1 d=8.43952e-05 t=31290
dian zi ji shu 	電子技術	c=1 d=0.0157693 t=31290
diao 	掉	c=3 d=1.05821 t=31290
diao du 	調度	c=1 d=0.0146986 t=31290
diao du ce lve 	調度策略	c=1 d=0.0142642 t=31290
diao le 	掉了	c=2 d=0.0406689 t=31290
diao le xia lai 	掉了下來	c=1 d=0.115325 t=31290
diao ta 	掉他	c=1 d=0.00491728 t=31290
diao yong 	調用	c=3 d=1.17181 t=31290
diao yong han shu 	調用函數	c=1 d=0.588605 t=31290
diao yu 	釣魚	c=0 d=2.17318e-15 t=31290
diao yu wang zhan 	釣魚網站	c=1 d=2.18407e-14 t=31290
die jia 	疊加	c=3 d=0.562705 t=31290
die jia de 	疊加的	c=2 d=0.0459593 t=31290
ding 	頂	c=1 d=1 t=28778
ding bu 	頂部	c=1 d=0.458406 t=31290
ding dan hao 	訂單號	c=0 d=2.3485e-16 t=31290
ding gao 	定稿	c=1 d=0.0279356 t=31290
ding gou 	訂購	c=1 d=0.0108347 t=31290
